subject,lextale,working_memory,trial_id,type,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,RT15,RT16,RT17,RT18,RT19,RT20,RT21,RT22,RT23,RT24,Long_LEN,Long_VP1RT,Long_VP2RT,Short_LEN,Short_VP1RT,Short_VP2RT,VP_LEN,VP1_RT(ms),VP2_RT(ms),judgment_rt,response,is_correct,sentence,question
10,55,12.5,68,long,Anne,fed,birds,in,the,park,in,the,city,and,Bob,fed,birds,in,the,park,in,the,city,whereas,Cindy,watched,the,birds,0.4043,0.4413,0.6299,0.4616,0.3772,0.6783,0.3955,0.393,0.4532,0.4044,0.4272,0.3946,0.4514,0.4012,0.3222,0.425,0.3757,0.2946,0.2581,0.4019,0.3379,0.4618,0.3924,0.6143,26,3.83,2.9228,,,,26,3830,2922.8,2.9966,Y,1,Anne?fed birds in the park in the city and?Bob?fed birds in the park in the city whereas?Cindy?watched the birds.,Bob fed birds.
11,60,16.5,9,long,Anne,fed,birds,in,the,park,in,the,city,and,Bob,fed,birds,in,the,park,in,the,city,whereas,Cindy,watched,the,birds,0.8681,0.8821,1.015,0.5105,0.7681,0.9039,0.3975,0.667,0.6563,0.5353,0.5543,0.7089,0.6291,0.4461,0.5186,0.5485,0.4696,0.4142,0.5318,0.7476,0.603,0.8889,0.7614,1.3801,26,5.8004,4.2668,,,,26,5800.4,4266.8,2.3454,Y,1,Anne?fed birds in the park in the city and?Bob?fed birds in the park in the city whereas?Cindy?watched the birds.,Bob fed birds.
11,60,16.5,10,long,Anne,rode,horses,at,the,ranch,in,the,morning,and,Bob,rode,horses,at,the,ranch,in,the,morning,while,Cindy,stayed,at,home,0.7839,0.795,0.9512,0.7958,0.5602,0.8301,0.5711,0.4607,0.5875,0.6318,0.4577,0.6925,0.5892,0.525,0.5148,0.5305,0.4322,0.4119,0.5828,0.5306,0.6762,0.4611,0.6933,1.2145,32,5.5516,4.2789,,,,32,5551.6,4278.9,2.6843,Y,1,Anne?rode horses at the ranch in the morning and?Bob?rode horses at the ranch in the morning while?Cindy?stayed at home.,Cindy stayed at home.
11,60,16.5,13,long,Anne,attended,school,in,the,county,down,the,road,and,Bob,attended,school,in,the,county,down,the,road,while,Cindy,stayed,in,daycare,0.3904,1.0771,0.7635,0.5427,0.6719,0.7227,0.72,0.7142,1.0099,0.6878,0.8899,0.6365,0.5762,0.5246,0.4886,0.4984,0.5975,0.6624,0.5958,0.5259,0.4858,0.4921,0.502,1.3527,36,6.222,4.58,,,,36,6222,4580,4.426,N,1,Anne?attended school in the county down the road and?Bob?attended school in the county down the road while?Cindy?stayed in daycare.,Cindy attended school.
11,60,16.5,16,long,Anne,booked,tickets,on,the,phone,ahead,of,time,and,Bob,booked,tickets,on,the,phone,ahead,of,time,whereas,Cindy,had,no,money,0.8276,1.2795,1.8429,0.4843,0.5355,2.4223,4.4195,0.4595,0.737,0.4429,0.5124,0.5369,0.5718,0.4133,0.4148,0.4457,0.606,0.3851,0.3341,0.5516,0.4576,0.505,0.4534,0.5954,34,12.1805,3.7077,,,,34,12180.5,3707.7,3.984,Y,1,Anne?booked tickets on the phone ahead of time and?Bob?booked tickets on the phone ahead of time whereas?Cindy?had no money.,Anne booked tickets.
11,60,16.5,18,long,Anne,ate,fish,in,the,restaurant,on,the,pier,and,Bob,ate,fish,in,the,restaurant,on,the,pier,whereas,Cindy,drank,a,Coke,0.5126,0.4774,0.5377,0.4551,0.3697,0.4545,0.536,0.4662,1.0602,0.7875,0.5603,0.4165,0.4554,0.4382,0.3886,0.3979,0.4152,0.3783,0.7187,1.413,0.4738,0.3154,0.511,0.7268,31,4.3568,3.6088,,,,31,4356.8,3608.8,2.5927,N,1,Anne?ate fish in the restaurant on the pier and?Bob?ate fish in the restaurant on the pier whereas?Cindy?drank a Coke.,Anne drank a Coke.
11,60,16.5,21,long,Anne,drove,cars,in,the,race,on,the,street,and,Bob,drove,cars,in,the,race,on,the,street,whereas,Cindy,preferred,to,watch,0.5685,0.6402,1.7663,0.4157,0.3474,0.5324,0.6584,0.4346,0.4561,0.3713,0.3864,0.3766,0.3883,0.4625,0.3662,0.3042,0.2973,0.3534,0.5435,0.573,0.4552,1.1654,0.4224,1.1077,29,5.2511,3.092,,,,29,5251.1,3092,3.2854,Y,1,Anne?drove cars in the race on the street and?Bob?drove cars in the race on the street whereas?Cindy?preferred to watch.,Anne drove cars.
11,60,16.5,22,long,Anne,watched,television,on,the,sofa,in,the,room,and,Bob,watched,television,on,the,sofa,in,the,room,while,Cindy,read,the,newspaper,0.4483,0.7423,0.9123,0.4939,0.3568,1.8873,1.4514,0.384,0.6914,0.441,0.3417,0.4914,0.4588,0.3184,0.3409,0.3282,0.3799,0.3101,0.4181,0.4535,0.4162,0.4417,0.5962,0.7468,35,6.9194,3.0458,,,,35,6919.4,3045.8,1.9526,N,1,Anne?watched television on the sofa in the room and?Bob?watched television on the sofa in the room while?Cindy?read the newspaper.,Anne read the newspaper.
11,60,16.5,32,long,Anne,drank,beer,in,the,pub,around,the,corner,and,Bob,drank,beer,in,the,pub,around,the,corner,while,Cindy,ate,a,burger,0.3552,0.3747,0.7918,0.3515,0.3382,0.8821,0.64,0.3423,0.3486,0.5612,0.9295,0.5128,0.3349,0.2327,0.3591,0.4379,0.4259,0.3558,0.2999,0.3752,0.2653,0.2902,0.6428,1.157,32,4.0692,2.959,,,,32,4069.2,2959,2.4195,Y,1,Anne?drank beer in the pub around the corner and?Bob?drank beer in the pub around the corner while?Cindy?ate a burger.,Cindy ate a burger.
11,60,16.5,37,long,Anne,trained,dogs,in,the,yard,of,the,house,and,Bob,trained,dogs,in,the,yard,of,the,house,while,Cindy,took,a,nap,0.4097,0.6263,1.2312,0.4219,0.2943,0.3833,0.3518,0.4384,0.4289,0.4187,0.5685,0.313,0.5471,0.2657,0.267,0.3922,0.2961,0.261,0.3857,0.3321,0.4102,0.29,0.4676,0.7964,30,4.1761,2.7278,,,,30,4176.1,2727.8,1.5254,N,1,Anne?trained dogs in the yard of the house and?Bob?trained dogs in the yard of the house while?Cindy?took a nap.,Anne took a nap.
11,60,16.5,38,long,Anne,bought,clothes,in,the,store,by,the,bridge,and,Bob,bought,clothes,in,the,store,by,the,bridge,while,Cindy,waited,for,them,0.4557,0.8929,0.4453,0.6081,0.4859,1.8673,0.4572,0.3858,1.0815,0.6082,2.6675,0.6408,0.3994,0.334,0.1976,0.3684,0.3559,0.2923,0.3879,0.4907,0.4385,0.5983,0.5161,0.5648,34,6.224,2.9763,,,,34,6224,2976.3,2.0787,N,1,Anne?bought clothes in the store by the bridge and?Bob?bought clothes in the store by the bridge while?Cindy?waited for them.,Bob waited for others.
11,60,16.5,40,long,Anne,shared,information,at,the,workplace,in,the,meeting,and,Bob,shared,information,at,the,workplace,in,the,meeting,while,Cindy,finished,the,report,0.399,0.3536,0.9244,0.4165,0.3969,1.7951,0.359,0.2462,0.2257,0.3528,0.2726,0.388,0.2991,0.3926,0.2439,0.3867,0.2853,0.241,0.3221,0.2642,0.3115,0.314,0.3899,0.6398,43,4.7174,2.5587,,,,43,4717.4,2558.7,2.139,Y,1,Anne?shared information at the workplace in the meeting and?Bob?shared information at the workplace in the meeting while?Cindy?finished the report.,Cindy finished the report.
11,60,16.5,50,long,Anne,ordered,coffee,at,the,cafe,behind,the,office,and,Bob,ordered,coffee,at,the,cafe,behind,the,office,while,Cindy,preferred,black,tea,0.3715,0.4163,0.6714,0.4202,0.3741,0.4328,0.5021,0.7075,0.4199,0.3734,0.3379,0.6538,0.6318,0.3929,0.3677,0.3159,0.5046,0.4779,0.429,0.4817,0.2833,0.437,1.0107,1.0901,37,3.9443,3.7736,,,,37,3944.3,3773.6,2.252,Y,1,Anne?ordered coffee at the cafe behind the office and?Bob?ordered coffee at the cafe behind the office while?Cindy?preferred black tea.,Anne ordered coffee.
